,variant_id,title,type2,nivel_prenda,specific_color,color,tipo_marca,season,disponibilidad,basicos,formalidad,estampado,atrevido,invierno_verano,interesante,detalle,specific_type,stock,envios,ventas,satisfaction,tasa_mercado,interest,marca,feature_name,feature_value
2960,e11bef9e-0acb-479f-a123-6719e31c3a45,Nudiris Scarf acrylic ,Foulard,nivel_3,pink,pink,Own production,8,disponible,False,both,False,basico,invierno,True,acrylic,foulard,2.0,7565.0,2573.0,0.3401189689358889,0.0643473822991536,0.2022331756175213,Own production,adventurous,acrylic
977,46247c9a-9c99-47a1-9a63-9932282ffd53,Closet Dress texas,Dress,nivel_1,blue,blue,Own production,7,proximamente,True,both,False,unknown,invierno,False,texas,dress,0.0,1547.8,497.2,0.320750874026137,0.0131654829243397,0.1669581784752383,Own production,adventurous,false
2685,1646c582-98b9-41e1-944a-ab178d4bc133,Mejh Top lace,Top,nivel_2,mustand,yellow,Own production,7,proximamente,False,formal,False,unknown,invierno,False,lace,top,0.0,1214.0,409.2,0.3346861792660908,0.010326202526262,0.1725061908961764,Own production,adventurous,false
954,3822b53e-e1d4-406a-b682-496dc9a313eb,Clofirmamen Dress modal ,Dress,nivel_1,blue_dark,blue,Own production,8,proximamente,True,both,False,unknown,invierno,True,modal,dress,0.0,2313.6,871.0,0.3718762190875278,0.0196793263301152,0.1957777727088215,Own production,application,false
2881,dbcc78a6-c7d8-4f87-a7f7-7d491ae60ea4,Newport Scarf nude ,Foulard,nivel_3,blue_petrol,blue,Own production,9,disponible,False,both,False,unknown,invierno,True,nude,foulard,1.0,3782.0,1935.0,0.5116340560549973,0.0321694381831327,0.271901747119065,Own production,adventurous,big
380,4ed53598-1f7b-4a0a-ad73-fc9c90a1dd4f,Billary Top closet,Top,nivel_2,black,black,Own production,9,proximamente,False,both,False,unknown,invierno,True,closet,top,0.6,638.0,365.2,0.5790275215777367,0.0054267851826649,0.3523963291928301,Own production,composition,62
1002,09c0023f-edfd-4ba8-9f63-9f385222bcff,Closet Top somerville,Top,nivel_2,mustand,yellow,Own production,7,proximamente,False,both,False,unknown,invierno,True,somerville,top,0.0,1328.4,475.2,0.3693125184849856,0.0112992812486709,0.1903058998668283,Own production,composition,59
955,66f8eec6-74f9-4105-ba83-7c8e0fd9d994,Clograndjardin Shirt modal ,Shirt,nivel_2,blue_light,blue,Own production,8,proximamente,True,both,False,unknown,invierno,True,modal,shirt,0.0,1086.4,567.6,0.5285432231437924,0.009240845489729,0.3230053453742497,Own production,application,false
859,5aa20956-1ec6-4c58-bc96-7ddb18f9034d,Charis Bag closet ,Bag,nivel_3,black,black,Own production,9,proximamente,False,both,False,unknown,invierno,True,closet,bag,0.0,880.0,484.0,0.55,0.0074852209416067,0.2787426104708034,Own production,detail,automatic
857,62bafcfa-c8b9-40d4-9255-f4af6d404436,Charis Bag bohck ,Bag,nivel_3,black,black,Own production,9,proximamente,False,both,False,atrevido,invierno,True,bohck,bag,0.0,4398.0,1693.0,0.3849477035015916,0.0374090928422574,0.2111783981719245,Own production,adventurous,animal_print
377,1226ae72-31ca-4573-8f58-ed9d0eb480ac,Bibla Top closet,Top,nivel_2,black,black,Own production,9,proximamente,False,both,False,unknown,invierno,True,closet,top,1.2,862.4,413.6,0.4630952380952381,0.0073355165227746,0.2493046045450034,Own production,composition,false
2011,c3da8bf8-704a-4938-8ea7-8d8b72da95a0,Jacinda Foulard film,Foulard,nivel_3,blue_turquoise,blue,Own production,7,disponible,False,informal,False,atrevido,invierno,True,film,foulard,1.0,3321.0,1693.0,0.5097862089732008,0.0282482031216773,0.2690172060474391,Own production,adventurous,boho
1003,03618560-90c2-4ca1-b609-43aaa00d5543,Closet Top tennessee ,Top,nivel_2,ecru,brown,Own production,7,proximamente,False,both,False,unknown,invierno,True,tennessee,top,0.0,1310.6,475.2,0.3891688069455895,0.0111478756432611,0.2001583412944253,Own production,adventurous,false
854,6ad76e8f-e845-4027-bd5a-3db07ba0b10f,Chanel Bag closet ,Bag,nivel_3,rust,orange,Own production,9,proximamente,False,both,False,unknown,invierno,True,closet,bag,0.0,4618.0,2221.0,0.4809441316587267,0.0392803980776591,0.2601122648681929,Own production,detail,suede
2012,bba50f91-1ae6-4a52-9aa9-57cb6647f802,Jacinda Foulard film,Foulard,nivel_3,yellow,yellow,Own production,7,proximamente,False,informal,False,atrevido,invierno,True,film,foulard,0.0,3013.0,1319.0,0.4377696647859276,0.0256283757921149,0.2316990202890213,Own production,adventurous,boho
980,04d1c345-c1e8-4693-8ce7-7fbd38f89d9f,Closet Jacket candem,Jacket,nivel_3,beige,beige,Own production,7,proximamente,False,both,False,unknown,invierno,False,candem,jacket,0.6,1398.6,422.4,0.121203603227338,0.0118963977374218,0.0665500004823799,Own production,adventurous,61
956,68aa8dab-8a5c-4565-81ac-0ace96edd23a,Clogross Scarf raising ,Foulard,nivel_3,beige,beige,Own production,8,disponible,False,both,False,basico,invierno,True,raising,foulard,3.0,6751.0,2815.0,0.4169752629240112,0.0574235529281673,0.2371994079260893,Own production,style,acrylic
2351,090f5716-9844-4518-9350-f412fb920da7,Lillo Jacket film ,Jacket,nivel_3,blue_turquoise,blue,Own production,9,proximamente,False,both,False,unknown,invierno,True,film,jacket,0.0,1816.6,818.2,0.4543147875469033,0.015451877684685,0.2348833326157942,Own production,adventurous,false
2654,13e66e58-ec06-43ff-b626-511dd17c2417,Martin Cardigan knit ,Sweater,nivel_2,black,black,Own production,9,proximamente,False,both,False,unknown,invierno,False,knit,sweater,0.0,0.0,0.0,0.0,0.0,0.0,Own production,application,70
1246,2c309a89-801e-4a59-8b1f-b0fbf48fb3dc,Dream Top film ,Top,nivel_2,camel,brown,Own production,7,proximamente,False,both,False,unknown,invierno,True,film,top,0.2,787.6,369.6,0.4685632205632206,0.006699272742738,0.2376312466529793,Own production,adventurous,true
2882,71c3ba45-4e12-45ba-ba62-578acb7cf2d2,Newport Scarf nude ,Foulard,nivel_3,mustand,yellow,Own production,9,proximamente,False,both,False,unknown,invierno,True,nude,foulard,0.0,3870.0,2353.0,0.6080103359173127,0.0329179602772934,0.320464148097303,Own production,adventurous,big
2010,316e379a-81b7-4582-988d-e1c8e3c4cd7d,Jacinda Foulard film,Foulard,nivel_3,blue_klein,blue,Own production,7,disponible,False,informal,False,atrevido,invierno,False,film,foulard,72.0,1253.0,330.0,0.2633679169992019,0.0106579339089014,0.1370129254540517,Own production,adventurous,boho
1001,3113e730-f0b9-4383-be6e-fe102425ba87,Closet Top mays,Top,nivel_2,beige,beige,Own production,7,proximamente,False,both,False,unknown,invierno,True,mays,top,0.0,1192.0,519.2,0.4465624398339718,0.0101390720027218,0.2283507559183469,Own production,adventurous,false
986,0a34af00-4c67-43d8-9c30-71034fda3c39,Closet Shirt iowa ,Shirt,nivel_2,blue,blue,Own production,7,proximamente,True,both,False,unknown,invierno,True,iowa,shirt,0.0,1240.2,466.4,0.3985789074759761,0.0105490579679326,0.2045639827219544,Own production,adventurous,false
375,c088cba1-b88f-42a6-bc8e-37e8eddcfd99,Betty Scarf closet ,Foulard,nivel_3,beige,beige,Own production,9,proximamente,False,informal,False,atrevido,invierno,True,closet,foulard,0.0,3695.0,1363.0,0.3688768606224628,0.0314294220218602,0.2001531413221615,Own production,application,boho
974,3762a310-892b-49df-99f4-c4aa3bd1dd15,Closet Dress dakota,Dress,nivel_1,yellow,yellow,Own production,7,proximamente,False,both,False,unknown,invierno,False,dakota,dress,0.4,1534.8,374.0,0.2594376604030495,0.0130549057967932,0.1362462830999213,Own production,adventurous,false
