,index,title,specific_color,type2,specific_type,color,tipo_marca,stock,envios,ventas,satisfaction,tasa_mercado,interest,season,disponibilidad,marca,feature_name,feature_value,variant_id,nivel_prenda
987,988,Closet Shirt maine,ecru,Shirt,shirt,brown,OWN_PRODUCTION,1.2,1429.4,448.8,0.3150989658375537,0.012158380470378,0.1636286731539659,7,disponible,OWN_PRODUCTION,adventurous,false,358f4fa7-ed99-4ed5-ada6-b50ac068a2eb,Nivel 2
988,989,Closet Shirt maryland,ecru,Shirt,shirt,brown,OWN_PRODUCTION,1.0,1258.0,470.8,0.3854805000451159,0.0107004635733424,0.1980904818092291,7,disponible,OWN_PRODUCTION,adventurous,false,3489988c-5d26-4fcc-82b0-081711023cc6,Nivel 2
995,996,Closet Top brick,mustand,Top,top,yellow,OWN_PRODUCTION,0.2,1227.0,462.0,0.3905986246509405,0.0104367796538085,0.2005177021523745,7,proximamente,OWN_PRODUCTION,adventurous,false,281d1e69-1fb5-4cde-8cbc-434ff16fed3f,Nivel 2
1012,1013,Coated Pant anna,black,Pant,pant,black,WHOLE_SALE,0.4,2115.8,550.0,0.2537780448153171,0.0179968528048313,0.1358874488100742,7,proximamente,WHOLE_SALE,composition,false,133e0f6e-136c-4da6-a537-32d3c3da3acc,Nivel 1
1013,1014,Coated Pant anna,blue_dark,Pant,pant,blue,WHOLE_SALE,0.4,1583.4,550.0,0.3522939559910331,0.0134682941351592,0.1828811250630961,7,proximamente,WHOLE_SALE,composition,false,26061dbf-22aa-444c-bfb2-54173c76320a,Nivel 1
1018,1019,Coaty Pant marine,blue_dark,Pant,pant,blue,NO_MAINSTREAM,1.8333333333333333,1216.8333333333333,583.0,0.4555069516802663,0.0103503026694452,0.2329286271748558,9,disponible,NO_MAINSTREAM,composition,false,153b4b52-38ea-4135-9230-3a9b7a4ab3a4,Nivel 1
1020,1021,Coco Tshirt tank,green_light,Tshirt,tshirt,green,NO_MAINSTREAM,1.0,638.0,115.5,0.2066658547476962,0.0054267851826649,0.1237397236142257,7,disponible,NO_MAINSTREAM,adventurous,50,1210c2d6-9803-4f3d-8467-af8aa5ae2dc9,Nivel 2
1025,1026,Collection Jeans jogger ,beige,Jean,jean,beige,NO_MAINSTREAM,0.2,1284.4,255.2,0.2542489146073864,0.0109250202015906,0.1562000041642951,7,proximamente,NO_MAINSTREAM,detail,true,6224c6cb-bb8d-4541-a04b-555f783758f5,Nivel 1
1028,1029,Collection Jeans stretch ,blue_dark,Jean,jean,blue,NO_MAINSTREAM,0.2,743.6,242.0,0.322004225431398,0.0063250116956577,0.1641646185635278,7,proximamente,NO_MAINSTREAM,composition,false,054724d2-a847-4dcc-9a7a-daf04ddcf47c,Nivel 1
1032,1033,Columbine Tshirt knit ,black,Tshirt,tshirt,black,NO_MAINSTREAM,0.6,66.0,39.6,0.4214285714285714,0.0005613915706205,0.3162117764640836,9,proximamente,NO_MAINSTREAM,application,47,4573020e-39ea-43e0-9e51-1b6adb54f668,Nivel 2
